色番号,色名,R,G,B,カテゴリ
#001,ホワイト,255,255,255,0
#002,バター,241,230,178,0
#003,イエロー,255,215,0,0
#004,オレンジ,255,130,0,0
#005,レッド,239,51,64,0
#006,ピンク,223,122,153,0
#007,パープル,78,0,142,0
#008,ダークブルー,0,35,156,0
#009,ブルー,0,156,222,0
#010,グリーン,0,150,94,0
#011,ペパーミント,113,219,212,0
#012,ダークブラウン,92,61,49,0
#013,グレー,167,168,170,0
#014,ブラック,0,0,0,0
#015,クリヤー,,,,0
#016,ブラウン,153,85,43,0
#017,コーヒーブラウン,152,106,76,0
#018,ネールピンク,236,195,178,0
#019,ライトブラウン,198,169,146,0
#020,マゼンタ,239,75,129,0
#021,蛍光イエロー,,,,0
#022,蛍光オレンジ,,,,0
#023,蛍光グリーン,,,,0
#024,蛍光ピンク,,,,0
#025,ヒヤシンス,72,159,223,0
#026,ミントグリーン,128,224,167,0
#027,ラベンダー,191,155,222,0
#028,レモンイエロー,242,240,161,0
#029,チーズ,255,181,0,0
#030,ペールパステルブルー,185,217,235,0
#031,コーラルレッド,255,109,106,0
#032,ローズパープル,191,77,165,0
#033,ライムグリーン,122,204,0,0
#034,セルリアンブルー,0,169,224,0
#035,パステルダークベージュ,255,157,162,0
#036,ラピスラズリ,131,141,200,0
#037,パールブルー,,,,0
#038,さくらいろ,244,166,215,0
#039,アップルグリーン,121,190,112,0
#040,ダークローズ,215,67,136,0
#041,ラズベリー,172,20,90,0
#042,コバルトブルー,8,87,195,0
#043,キャラメル,244,175,35,0
#044,パロットグリーン,0,133,120,0
#045,カラスブラック,83,86,90,0
#046,マリンブルー,137,171,227,0
#047,マルーンブラウン,124,37,41,0
#048,キウイ,214,232,101,0
#049,ベージュ,241,202,173,0
#050,ローシェンナ,220,134,51,0
#051,クリアーラメ,,,,0
#052,クリアーレッド,,,,0
#053,クリアーイエロー,,,,0
#054,クリアーブルー,,,,0
#055,クリアーグリーン,,,,0
#056,クリアーパープル,,,,0
#057,夜光グリーン,,,,0
#058,夜光ブルー,,,,0
#059,夜光ピンク,,,,0
#060,夜光オレンジ,,,,0
#061,夜光パープル,,,,0
#062,パールホワイト,,,,0
#063,ゴールド,,,,0
#064,パールコーラル,,,,0
#065,パールミント,,,,0
#066,パールグリーン,,,,0
#067,パールイエロー,,,,0
#068,パールピンク,,,,0
#069,シルバー,,,,0
#070,ダークブラック,33,39,33,0
#071,サファイアブルー,0,87,183,0
#072,べにひいろ,255,88,93,0
#073,ザクロ,238,39,55,0
#074,ハナカイドウ,252,155,179,0
#075,みずいろ,164,219,232,0
#076,アイスミントグリーン,185,220,210,0
#077,アイボリー,248,245,227,0
#078,ナイルグリーン,91,197,0,0
#079,ゴールデンイエロー,241,196,0,0
#080,ネイビーブルー,3,37,126,0
#081,ペールベージュ,255,226,198,0
#082,セレストブルー,98,181,229,0
#083,ダークグレー,136,139,141,0
#084,ダークグリーン,0,73,30,0
#085,はだいろ,252,200,155,0
#086,ペールレッド,233,205,208,0
#087,ペールグレー,208,208,206,0
#088,ペールホワイト,221,218,232,0
#089,ペールパープル,197,180,227,0
#090,クロッカス,198,161,207,0
#091,あおむらさきいろ,33,21,81,0
#092,ダークレッド,193,0,22,0
#093,カーマイン,246,117,153,0
#094,バラ,218,24,132,0
#095,ピーチ,242,119,198,0
#096,マリーゴールド,255,143,28,0
#097,ペールオレンジ,255,174,98,0
#098,ジンジャーイエロー,222,184,59,0
#099,オリーブ,83,84,53,0
#100,ティファニーブルー,100,204,201,0
#101,イエローオーカー,180,126,0,0
#102,ダークベージュ,212,173,103,0
#103,ライトベージュ,247,206,215,0
#104,ワスレナグサ,165,176,227,0
#105,しょうぶいろ,193,167,226,0
#106,しこんいろ,205,63,173,0
#107,パンジー,128,39,108,0
#108,バイオレット,40,0,113,0
#109,イエローベージュ,253,208,134,0
#110,フラミンゴ,255,160,106,0
#111,スターバックス,29,105,96,0
#112,カーネーション,249,159,201,0
#113,シアン,0,166,200,0
#114,キャメルブラウン,191,153,114,0
#115,ココナッツブラウン,184,97,37,0
#116,ライトオレンジ,,,,0
#117,ピーグリーン,167,213,0,0
#118,ライトカーキ,223,209,167,0
#119,アイスグリーン,212,235,142,0
#120,ダークネイビーブルー,34,50,110,0
#121,コンクリートグレー,187,188,188,0
#122,ダークフォレストグリーン,32,92,64,0
#123,マホガニー,170,128,102,0
#124,ワインレッド,162,0,103,0
#125,パープルロータス,152,115,172,0
#126,ライトラベンダー,200,216,235,0
#127,おうどいろ,222,188,139,0
#128,ゼニスブルー,159,174,229,0
#129,チョコレートブラウン,98,52,18,0
#130,レイクブルー,84,206,236,0
#131,サクラベージュ,245,202,191,0
#132,オパールグリーン,0,176,185,0
#133,ライトグリーン,199,233,149,0
#134,メイプルレッド,255,88,105,0
#135,しゅいろ,255,106,57,0
#136,アイスミントブルー,221,229,237,0
#137,チョコブラウン,94,75,60,0
#138,コルク,211,187,168,0
#139,ピンクベージュ,225,187,180,0
#140,コーラル,236,186,168,0
#141,オリーブグリーン,128,140,36,0
#142,ベビーブルー,177,201,232,0
#143,レグホーン,214,210,196,0
#144,オイスターホワイト,215,210,203,0
#145,スカイグレー,177,179,179,0
#146,サンドホワイト,219,200,182,0
#147,スプリンググリーン,227,233,53,0
#148,チャイニーズレッド,224,78,57,0
#149,ジェイブルー,0,75,135,0
#150,ネオンイエロー,247,234,72,0
#151,クリアーライトピンク,,,,0
#152,クリアーブラック,,,,0
#153,ライラック,201,177,208,0
#154,サーモンピンク,255,128,139,0
#155,グレープ,177,78,181,0
#156,スカイブルー,113,197,232,0
#157,クリアーグレー,,,,0
#158,ロイヤルパープル,135,24,157,0
#159,タントンシー,202,188,156,0
#160,カフェオレブラウン,197,139,104,0
#161,ダークラベンダー,162,120,156,0
#162,ミルクティーブラウン,165,136,119,0
#163,アッシュグレー,117,120,123,0
#164,ヘーゼルブラウン,171,152,157,0
#165,シナモンブラウン,214,128,107,0
#166,エバーグリーン,80,109,133,0
#167,サンドグレー,197,185,172,0
#168,フォググレー,190,198,196,0
#169,パーチメント,166,159,136,0
#170,ライトキャラメル,171,146,120,0
#171,サンドブラウン,193,178,162,0
#172,アイビーグリーン,146,172,160,0
#173,チャコールグレー,76,54,58,0
#174,メロングリーン,0,179,136,0
#175,アイスミントライム,181,227,216,0
#176,パールコバルトブルー,,,,0
#177,パールベージュ,,,,0
#178,パールシルバー,,,,0
#179,パールゴールド,,,,0
#180,パールクリムゾン,,,,0
#181,パールワインレッド,,,,0
#182,パールゴールデンイエロー,,,,0
#183,パールダークブルー,,,,0
#184,パールダークグリーン,,,,0
#185,パールアイボリー,,,,0
#186,パールピンクホワイト,,,,0
#187,パールパープル,,,,0
#188,パールチェリーブロッサム,,,,0
#189,パールペールレッド,,,,0
#190,パールペールブルー,,,,0
#191,カッパーレッド,186,12,47,0
#192,アルパイングリーン,91,92,74,0
#193,ビリジアン,0,111,98,0
#194,ピーコックグリーン,39,153,137,0
#195,レッドゴールド,237,155,51,0
#196,ミッドナイトブルー,0,51,73,0
#197,ダークスカイブルー,0,125,186,0
#198,ブルーパープル,68,73,156,0
#199,キャラメルブラウン,164,90,42,0
#200,チャコールブラック,49,38,29,0
#201,ひそくいろ,164,188,194,0
#202,ターコイズブルー,0,133,155,0
#203,クリームイエロー,,,,0
#204,スノーホワイト,,,,0
#205,ミルキーピーチ,,,,0
#206,パステルベージュ,,,,0
#207,パステルグリーン,,,,0
#208,パステルオレンジ,,,,0
#209,ライトパーチメント,,,,0
#210,パステルピーチ,,,,0
#211,パステルライトベージュ,,,,0
#212,パステルブルー,,,,0
#213,ヨークイエロー,,,,0
#214,ミルキーホワイト,,,,0
#215,パステルピンク,,,,0
#216,パステルイエロー,,,,0
#217,パステルパープル,,,,0
#218,パステルレッド,,,,0
#219,サンストーン,,,,0
#220,ルビー,,,,0
#221,シリトン,,,,0
#222,エメラルド,,,,0
#223,アメジスト,,,,0
#224,サファイア,,,,0
#225,アクアマリン,,,,0
#226,アンバー,,,,0
#227,ペリドット,,,,0
#228,ローズクオーツ,,,,0
#229,シャンパンガーネット,,,,0
#230,オパール,,,,0
#231,ターコイズ,,,,0
#232,ガーネット,,,,0
#233,ヒスイ,,,,0
#234,ネイビー,77,73,190,0
#235,マルベリーパープル,165,132,150,0
#236,アイアングレー,162,172,171,0
#237,フクシアパープル,207,135,157,0
#238,ローズグレー,202,167,181,0
#239,ナイルブルー,89,190,201,0
