色番号,色名,R,G,B,L,a,b,カテゴリ
#001,ホワイト,255,255,255,100.0,-0.0,-0.01,0
#002,バター,241,230,178,91.01,-4.19,26.74,0
#003,イエロー,255,215,0,86.93,-1.93,87.13,0
#004,オレンジ,255,130,0,67.45,41.84,74.25,0
#005,レッド,239,51,64,53.05,69.76,39.18,0
#006,ピンク,223,122,153,63.27,42.58,0.95,0
#007,パープル,78,0,142,22.21,54.66,-57.98,0
#008,ダークブルー,0,35,156,22.31,40.39,-66.64,0
#009,ブルー,0,156,222,60.82,-10.48,-42.9,0
#010,グリーン,0,150,94,54.68,-47.52,20.26,0
#011,ペパーミント,113,219,212,81.25,-32.33,-6.03,0
#012,ダークブラウン,92,61,49,28.99,11.96,12.9,0
#013,グレー,167,168,170,68.84,0.03,-1.16,0
#014,ブラック,0,0,0,0.0,0.0,0.0,0
#015,クリヤー,,,,,,,0
#016,ブラウン,153,85,43,43.43,24.58,36.0,0
#017,コーヒーブラウン,152,106,76,48.89,14.72,24.14,0
#018,ネールピンク,236,195,178,81.88,12.06,14.01,0
#019,ライトブラウン,198,169,146,71.19,7.04,15.79,0
#020,マゼンタ,239,75,129,57.05,66.21,6.2,0
#021,蛍光イエロー,,,,,,,0
#022,蛍光オレンジ,,,,,,,0
#023,蛍光グリーン,,,,,,,0
#024,蛍光ピンク,,,,,,,0
#025,ヒヤシンス,72,159,223,62.93,-5.99,-40.07,0
#026,ミントグリーン,128,224,167,82.21,-40.89,19.23,0
#027,ラベンダー,191,155,222,69.32,25.9,-29.0,0
#028,レモンイエロー,242,240,161,93.35,-10.93,38.49,0
#029,チーズ,255,181,0,78.64,15.58,81.41,0
#030,ペールパステルブルー,185,217,235,84.96,-6.72,-12.34,0
#031,コーラルレッド,255,109,106,64.36,55.4,29.9,0
#032,ローズパープル,191,77,165,50.81,55.96,-25.2,0
#033,ライムグリーン,122,204,0,74.4,-50.65,73.6,0
#034,セルリアンブルー,0,169,224,64.77,-16.88,-37.83,0
#035,パステルダークベージュ,255,157,162,74.82,37.04,12.99,0
#036,ラピスラズリ,131,141,200,59.93,10.52,-31.69,0
#037,パールブルー,,,,,,,0
#038,さくらいろ,244,166,215,76.93,35.88,-13.11,0
#039,アップルグリーン,121,190,112,70.91,-37.16,32.66,0
#040,ダークローズ,215,67,136,52.11,63.01,-5.66,0
#041,ラズベリー,172,20,90,37.86,60.75,0.87,0
#042,コバルトブルー,8,87,195,39.25,21.79,-62.07,0
#043,キャラメル,244,175,35,76.08,14.5,73.43,0
#044,パロットグリーン,0,133,120,49.65,-33.72,-1.71,0
#045,カラスブラック,83,86,90,36.43,-0.3,-2.74,0
#046,マリンブルー,137,171,227,69.46,2.35,-31.87,0
#047,マルーンブラウン,124,37,41,28.82,37.81,18.83,0
#048,キウイ,214,232,101,88.42,-23.73,60.44,0
#049,ベージュ,241,202,173,83.95,9.58,19.62,0
#050,ローシェンナ,220,134,51,63.76,26.6,56.0,0
#051,クリアーラメ,,,,,,,0
#052,クリアーレッド,,,,,,,0
#053,クリアーイエロー,,,,,,,0
#054,クリアーブルー,,,,,,,0
#055,クリアーグリーン,,,,,,,0
#056,クリアーパープル,,,,,,,0
#057,夜光グリーン,,,,,,,0
#058,夜光ブルー,,,,,,,0
#059,夜光ピンク,,,,,,,0
#060,夜光オレンジ,,,,,,,0
#061,夜光パープル,,,,,,,0
#062,パールホワイト,,,,,,,0
#063,ゴールド,,,,,,,0
#064,パールコーラル,,,,,,,0
#065,パールミント,,,,,,,0
#066,パールグリーン,,,,,,,0
#067,パールイエロー,,,,,,,0
#068,パールピンク,,,,,,,0
#069,シルバー,,,,,,,0
#070,ダークブラック,33,39,33,14.87,-4.18,3.07,0
#071,サファイアブルー,0,87,183,38.26,16.63,-56.67,0
